detector_id,correlation,correlation_ma
10034007[2-1B],0.271,0.360
10034009[2-2B],0.297,0.447
10034010[3-1B],0.149,0.371
10034011[3-2B],0.376,0.565
10034012[D43/5c],0.144,0.306
10034013[3-3B],0.307,0.559
10035,0.210,0.211
10035003[D4_1B],-0.361,-0.464
10035004[D4_2B],-0.449,-0.565
10035006[D4_3B],-0.015,-0.034
10035009[D2_1B],0.275,0.407
10035010[D2_2B],0.218,0.409
10035012[D2_3B],-0.136,-0.184
10036,0.277,0.401
10037,0.231,0.315
10037001,0.306,0.525
10037002,0.371,0.550
10037003,0.344,0.528
10037005,0.198,0.394
10037006,0.144,0.380
10037007,0.355,0.574
10038001,-0.106,-0.137
10038002,0.035,0.273
10038003,0.369,0.663
10038003[D4_2B],-0.106,-0.132
10038004,0.235,0.653
10038004[D2_2B],0.105,0.308
1004,0.072,0.123
10041001[D1_1B],0.908,0.953
10041002[D1_2B],0.902,0.937
10041003[D1_3B],0.838,0.872
10041007[D2_1B],0.595,0.716
10041008[D2_2B],0.648,0.751
10041009[D3_1B],0.601,0.649
10041010[D3_2B],0.554,0.638
10041011[D3_3B],0.759,0.776
10041015[D4_1B],0.598,0.695
10041016[D4_2B],0.510,0.613
10042001[R1],0.606,0.742
10042002[R2],0.478,0.448
10045001[1-1B],0.131,0.286
10045002[1-2B],0.498,0.700
10047001[D1_1B],0.101,0.133
10047002[D1_2B],0.026,0.029
10047010[D6],-0.066,0.239
1005,-0.034,-0.013
1005-N,0.300,0.300
10052010[D2_1B],0.434,0.726
10052011[D2_2B],0.556,0.814
10052012[D2_3B],0.080,0.267
10052013[D3_2B],-0.056,0.246
10052014[D4_1B],0.396,0.642
10052015[D4_2B],0.390,0.653
10052016[D4_3B],0.160,0.235
10057003[D1_1B],0.178,0.218
10057004[D1_2B],0.349,0.439
10057005[D2_1B],0.543,0.678
10057006[D2_2B],0.787,0.884
10058003[Radar3],0.611,0.726
10059004[D2_3b],0.273,0.485
10059006[D3_1b],N/A,0.827
10059007[D3_2b],0.818,0.901
10059008[D3_3x],0.809,0.902
10059010[D2_1b],0.101,0.200
10059011[D2_2b],0.083,0.256
10059012[D4_2b],-0.010,0.049
10059013[D4_3b],-0.328,-0.439
10059014[D4_4b],-0.118,-0.243
1006,-0.211,-0.235
1006-E,0.541,0.544
1006-N,0.595,0.604
1006-S,0.586,0.587
1006-W,0.634,0.638
10060003[D1_1B],-0.556,-0.692
10060004[D1_2B],-0.746,-0.848
10060005[D2_1B],0.358,0.397
10060006[D2_2B],0.271,0.296
10061004[D2_1B],0.652,0.784
10061005[D2_2B],0.608,0.732
10061006[D2_3B],0.070,0.065
10061007[D3_3B],0.662,0.704
10061008[D4_2B],-0.192,-0.291
10061009[D4_3B],0.043,0.040
10061010[D4_4B],0.388,0.585
10063004[D7],0.223,0.420
10063006[D1_1B],0.187,0.116
10063007[D2_1B],0.210,0.370
10063008[D2_2B],0.448,0.591
10063009[D4_1B],0.258,0.494
10063010[D4_2B],0.642,0.850
10066001,0.194,0.447
10066002,-0.055,0.386
10066003,0.078,0.213
10066003[D1_1B],-0.020,0.116
10066004,-0.083,-0.176
10066004[D1_2B],0.195,0.311
10066005[D3_1B],-0.228,-0.169
10066006,-0.176,-0.010
10066006[D3_2B],0.214,0.322
10066007,0.244,0.259
10066007[D1_1X],N/A,N/A
10066008,-0.191,-0.429
10066008[D1_2X],N/A,N/A
10066009[D3_1X],N/A,N/A
10066010[D3_2X],N/A,N/A
10067004[D1_1B],-0.246,-0.238
10067005[D1_2B],-0.416,-0.382
10067006[D3_1B],-0.456,-0.424
10067007[D3_2B],-0.068,0.218
10069001,-0.536,-0.646
10069002,-0.231,-0.414
10069003,-0.663,-0.753
10069005,0.034,0.111
10069006,0.138,0.259
1007,-0.398,-0.416
1007-E,0.458,0.461
1007-N,0.212,0.212
1007-S,0.513,0.516
1007.21,-0.221,-0.317
1007.22,-0.360,-0.382
1007.23,-0.363,-0.267
1007.24,-0.263,-0.279
1007.41,-0.150,-0.210
1007.42,-0.147,-0.176
10073001[D1_1B],0.516,0.542
